1694202484.1:ALIVE
1694202458.57:SUCCESS:BBS:100.0->100.140:VOLUME=False:BTCUSD-{'topAskPrice': Decimal('25859.0'), 'topAskSize': Decimal('0.128'), 'topBidPrice': Decimal('25856.83'), 'topBidSize': Decimal('0.05')},DOGEBTC-{'topAskPrice': Decimal('0.000002441'), 'topAskSize': Decimal('36.49316115'), 'topBidPrice': Decimal('0.00000243'), 'topBidSize': Decimal('57909.05648531')},DOGEUSD-{'topAskPrice': Decimal('0.06324'), 'topAskSize': Decimal('10930.0'), 'topBidPrice': Decimal('0.06321'), 'topBidSize': Decimal('2612.0')}
1694202458.57:SUCCESS:BBS:100.0->100.293:VOLUME=False:ETHUSD-{'topAskPrice': Decimal('1633.38'), 'topAskSize': Decimal('0.796'), 'topBidPrice': Decimal('1633.22'), 'topBidSize': Decimal('0.796')},BATETH-{'topAskPrice': Decimal('0.0001027'), 'topAskSize': Decimal('5.33'), 'topBidPrice': Decimal('0.000101'), 'topBidSize': Decimal('3021.552531')},BATUSD-{'topAskPrice': Decimal('0.17052'), 'topAskSize': Decimal('116.659118'), 'topBidPrice': Decimal('0.16824'), 'topBidSize': Decimal('885.17')}
1694202458.57:SUCCESS:BSS:100.0->100.425:VOLUME=False:LTCUSD-{'topAskPrice': Decimal('62.54'), 'topAskSize': Decimal('8.78'), 'topBidPrice': Decimal('62.49'), 'topBidSize': Decimal('23.58')},LTCBCH-{'topAskPrice': Decimal('0.3369'), 'topAskSize': Decimal('0.16278'), 'topBidPrice': Decimal('0.3264'), 'topBidSize': Decimal('0.23488')},BCHUSD-{'topAskPrice': Decimal('192.49'), 'topAskSize': Decimal('1.507'), 'topBidPrice': Decimal('192.42'), 'topBidSize': Decimal('0.175')}
1694202459.32:SUCCESS:BBS:100.0->100.140:VOLUME=False:BTCUSD-{'topAskPrice': Decimal('25859.0'), 'topAskSize': Decimal('0.128'), 'topBidPrice': Decimal('25856.83'), 'topBidSize': Decimal('0.05')},DOGEBTC-{'topAskPrice': Decimal('0.000002441'), 'topAskSize': Decimal('36.49316115'), 'topBidPrice': Decimal('0.00000243'), 'topBidSize': Decimal('57909.05648531')},DOGEUSD-{'topAskPrice': Decimal('0.06324'), 'topAskSize': Decimal('10930.0'), 'topBidPrice': Decimal('0.06321'), 'topBidSize': Decimal('2612.0')}
1694202459.32:SUCCESS:BBS:100.0->100.287:VOLUME=False:ETHUSD-{'topAskPrice': Decimal('1633.38'), 'topAskSize': Decimal('0.796'), 'topBidPrice': Decimal('1633.23'), 'topBidSize': Decimal('0.5')},BATETH-{'topAskPrice': Decimal('0.0001027'), 'topAskSize': Decimal('5.33'), 'topBidPrice': Decimal('0.000101'), 'topBidSize': Decimal('3021.552531')},BATUSD-{'topAskPrice': Decimal('0.17052'), 'topAskSize': Decimal('116.659118'), 'topBidPrice': Decimal('0.16823'), 'topBidSize': Decimal('3858.442475')}
1694202459.32:SUCCESS:BSS:100.0->100.425:VOLUME=False:LTCUSD-{'topAskPrice': Decimal('62.54'), 'topAskSize': Decimal('8.78'), 'topBidPrice': Decimal('62.49'), 'topBidSize': Decimal('23.58')},LTCBCH-{'topAskPrice': Decimal('0.3369'), 'topAskSize': Decimal('0.16278'), 'topBidPrice': Decimal('0.3264'), 'topBidSize': Decimal('0.23488')},BCHUSD-{'topAskPrice': Decimal('192.49'), 'topAskSize': Decimal('1.507'), 'topBidPrice': Decimal('192.42'), 'topBidSize': Decimal('0.175')}
1694202460.07:SUCCESS:BBS:100.0->100.140:VOLUME=False:BTCUSD-{'topAskPrice': Decimal('25859.0'), 'topAskSize': Decimal('0.128'), 'topBidPrice': Decimal('25856.83'), 'topBidSize': Decimal('0.05')},DOGEBTC-{'topAskPrice': Decimal('0.000002441'), 'topAskSize': Decimal('36.49316115'), 'topBidPrice': Decimal('0.00000243'), 'topBidSize': Decimal('57909.05648531')},DOGEUSD-{'topAskPrice': Decimal('0.06324'), 'topAskSize': Decimal('10930.0'), 'topBidPrice': Decimal('0.06321'), 'topBidSize': Decimal('2612.0')}
1694202460.07:SUCCESS:BBS:100.0->100.287:VOLUME=False:ETHUSD-{'topAskPrice': Decimal('1633.38'), 'topAskSize': Decimal('0.796'), 'topBidPrice': Decimal('1633.23'), 'topBidSize': Decimal('0.5')},BATETH-{'topAskPrice': Decimal('0.0001027'), 'topAskSize': Decimal('5.33'), 'topBidPrice': Decimal('0.000101'), 'topBidSize': Decimal('3021.552531')},BATUSD-{'topAskPrice': Decimal('0.17052'), 'topAskSize': Decimal('116.659118'), 'topBidPrice': Decimal('0.16823'), 'topBidSize': Decimal('3858.442475')}
1694202460.07:SUCCESS:BSS:100.0->100.425:VOLUME=False:LTCUSD-{'topAskPrice': Decimal('62.54'), 'topAskSize': Decimal('8.78'), 'topBidPrice': Decimal('62.49'), 'topBidSize': Decimal('23.58')},LTCBCH-{'topAskPrice': Decimal('0.3369'), 'topAskSize': Decimal('0.16278'), 'topBidPrice': Decimal('0.3264'), 'topBidSize': Decimal('0.23488')},BCHUSD-{'topAskPrice': Decimal('192.49'), 'topAskSize': Decimal('1.507'), 'topBidPrice': Decimal('192.42'), 'topBidSize': Decimal('0.175')}
1694202460.82:SUCCESS:BBS:100.0->100.140:VOLUME=False:BTCUSD-{'topAskPrice': Decimal('25859.0'), 'topAskSize': Decimal('0.128'), 'topBidPrice': Decimal('25856.82'), 'topBidSize': Decimal('0.05046')},DOGEBTC-{'topAskPrice': Decimal('0.000002441'), 'topAskSize': Decimal('36.49316115'), 'topBidPrice': Decimal('0.00000243'), 'topBidSize': Decimal('57909.05648531')},DOGEUSD-{'topAskPrice': Decimal('0.06324'), 'topAskSize': Decimal('10930.0'), 'topBidPrice': Decimal('0.06321'), 'topBidSize': Decimal('2612.0')}
1694202460.82:SUCCESS:BBS:100.0->100.293:VOLUME=False:ETHUSD-{'topAskPrice': Decimal('1633.38'), 'topAskSize': Decimal('0.796'), 'topBidPrice': Decimal('1633.22'), 'topBidSize': Decimal('0.796')},BATETH-{'topAskPrice': Decimal('0.0001027'), 'topAskSize': Decimal('5.33'), 'topBidPrice': Decimal('0.000101'), 'topBidSize': Decimal('3021.552531')},BATUSD-{'topAskPrice': Decimal('0.17052'), 'topAskSize': Decimal('116.659118'), 'topBidPrice': Decimal('0.16824'), 'topBidSize': Decimal('885.17')}
